inflected_form,base_form
আঁক,আঁক
আঁকই,আঁক
আঁকও,আঁক
আঁকছ,আঁক
আঁকছই,আঁক
আঁকছও,আঁক
আঁকছি,আঁক
আঁকছিই,আঁক
আঁকছিও,আঁক
আঁকছিল,আঁক
আঁকছিলই,আঁক
আঁকছিলও,আঁক
আঁকছিলাম,আঁক
আঁকছিলামই,আঁক
আঁকছিলামও,আঁক
আঁকছিলি,আঁক
আঁকছিলিই,আঁক
আঁকছিলিও,আঁক
আঁকছিলে,আঁক
আঁকছিলেই,আঁক
আঁকছিলেও,আঁক
আঁকছিলেন,আঁক
আঁকছিলেনই,আঁক
আঁকছিলেনও,আঁক
আঁকছিস,আঁক
আঁকছিসই,আঁক
আঁকছিসও,আঁক
আঁকছে,আঁক
আঁকছেই,আঁক
আঁকছেও,আঁক
আঁকছেন,আঁক
আঁকছেনই,আঁক
আঁকছেনও,আঁক
আঁকত,আঁক
আঁকতই,আঁক
আঁকতও,আঁক
আঁকতাম,আঁক
আঁকতামই,আঁক
আঁকতামও,আঁক
আঁকতি,আঁক
আঁকতিই,আঁক
আঁকতিও,আঁক
আঁকতে,আঁক
আঁকতে থাকব,আঁক
আঁকতে থাকবই,আঁক
আঁকতে থাকবও,আঁক
আঁকতে থাকবি,আঁক
আঁকতে থাকবিই,আঁক
আঁকতে থাকবিও,আঁক
আঁকতে থাকবে,আঁক
আঁকতে থাকবেই,আঁক
আঁকতে থাকবেও,আঁক
আঁকতে থাকবেন,আঁক
আঁকতে থাকবেনই,আঁক
আঁকতে থাকবেনও,আঁক
আঁকতেই,আঁক
আঁকতেও,আঁক
আঁকতেন,আঁক
আঁকতেনই,আঁক
আঁকতেনও,আঁক
আঁকব,আঁক
আঁকবই,আঁক
আঁকবও,আঁক
আঁকবি,আঁক
আঁকবিই,আঁক
আঁকবিও,আঁক
আঁকবে,আঁক
আঁকবেই,আঁক
আঁকবেও,আঁক
আঁকবেন,আঁক
আঁকবেনই,আঁক
আঁকবেনও,আঁক
আঁকল,আঁক
আঁকলই,আঁক
আঁকলও,আঁক
আঁকলাম,আঁক
আঁকলামই,আঁক
আঁকলামও,আঁক
আঁকলি,আঁক
আঁকলিই,আঁক
আঁকলিও,আঁক
আঁকলে,আঁক
আঁকলেই,আঁক
আঁকলেও,আঁক
আঁকলেন,আঁক
আঁকলেনই,আঁক
আঁকলেনও,আঁক
আঁকা,আঁক
আঁকাই,আঁক
আঁকাও,আঁক
আঁকার,আঁক
আঁকারই,আঁক
আঁকারও,আঁক
আঁকি,আঁক
আঁকিই,আঁক
আঁকিও,আঁক
আঁকিস,আঁক
আঁকিসই,আঁক
আঁকিসও,আঁক
আঁকুক,আঁক
আঁকুকই,আঁক
আঁকুকও,আঁক
আঁকুন,আঁক
আঁকুনই,আঁক
আঁকুনও,আঁক
আঁকে,আঁক
আঁকেই,আঁক
আঁকেও,আঁক
আঁকেন,আঁক
আঁকেনই,আঁক
আঁকেনও,আঁক
আগা,আগা
আগাই,আগা
আগাইই,আগা
আগাইও,আগা
আগাও,আগা
আগাওই,আগা
আগাওও,আগা
আগাক,আগা
আগাকই,আগা
আগাকও,আগা
আগাচ্ছ,আগা
আগাচ্ছই,আগা
আগাচ্ছও,আগা
আগাচ্ছি,আগা
আগাচ্ছিই,আগা
আগাচ্ছিও,আগা
আগাচ্ছিল,আগা
আগাচ্ছিলই,আগা
আগাচ্ছিলও,আগা
আগাচ্ছিলাম,আগা
আগাচ্ছিলামই,আগা
আগাচ্ছিলামও,আগা
আগাচ্ছিলি,আগা
আগাচ্ছিলিই,আগা
আগাচ্ছিলিও,আগা
আগাচ্ছিলে,আগা
আগাচ্ছিলেই,আগা
আগাচ্ছিলেও,আগা
আগাচ্ছিলেন,আগা
আগাচ্ছিলেনই,আগা
আগাচ্ছিলেনও,আগা
আগাচ্ছিস,আগা
আগাচ্ছিসই,আগা
আগাচ্ছিসও,আগা
আগাচ্ছে,আগা
আগাচ্ছেই,আগা
আগাচ্ছেও,আগা
আগাচ্ছেন,আগা
আগাচ্ছেনই,আগা
আগাচ্ছেনও,আগা
আগাত,আগা
আগাতই,আগা
আগাতও,আগা
আগাতাম,আগা
আগাতামই,আগা
আগাতামও,আগা
আগাতি,আগা
আগাতিই,আগা
আগাতিও,আগা
আগাতে,আগা
আগাতে থাকব,আগা
আগাতে থাকবই,আগা
আগাতে থাকবও,আগা
আগাতে থাকবি,আগা
আগাতে থাকবিই,আগা
আগাতে থাকবিও,আগা
আগাতে থাকবে,আগা
আগাতে থাকবেই,আগা
আগাতে থাকবেও,আগা
আগাতে থাকবেন,আগা
আগাতে থাকবেনই,আগা
আগাতে থাকবেনও,আগা
আগাতেই,আগা
আগাতেও,আগা
আগাতেন,আগা
আগাতেনই,আগা
আগাতেনও,আগা
আগান,আগা
আগানই,আগা
আগানও,আগা
আগানো,আগা
আগানোই,আগা
আগানোও,আগা
আগানোর,আগা
আগানোরই,আগা
আগানোরও,আগা
আগাব,আগা
আগাবই,আগা
আগাবও,আগা
আগাবি,আগা
আগাবিই,আগা
আগাবিও,আগা
আগাবে,আগা
আগাবেই,আগা
আগাবেও,আগা
আগাবেন,আগা
আগাবেনই,আগা
আগাবেনও,আগা
আগাল,আগা
আগালই,আগা
আগালও,আগা
আগালাম,আগা
আগালামই,আগা
আগালামও,আগা
আগালি,আগা
আগালিই,আগা
আগালিও,আগা
আগালে,আগা
আগালেই,আগা
আগালেও,আগা
আগালেন,আগা
আগালেনই,আগা
আগালেনও,আগা
আগাস,আগা
আগাসই,আগা
আগাসও,আগা
আগায়,আগা
আগায়ই,আগা
আগায়ও,আগা
আগিয়ে,আগা
আগিয়েই,আগা
আগিয়েও,আগা
আগিয়েছ,আগা
আগিয়েছই,আগা
আগিয়েছও,আগা
আগিয়েছি,আগা
আগিয়েছিই,আগা
আগিয়েছিও,আগা
আগিয়েছিল,আগা
আগিয়েছিলই,আগা
আগিয়েছিলও,আগা
আগিয়েছিলাম,আগা
আগিয়েছিলামই,আগা
আগিয়েছিলামও,আগা
আগিয়েছিলি,আগা
আগিয়েছিলিই,আগা
আগিয়েছিলিও,আগা
আগিয়েছিলে,আগা
আগিয়েছিলেই,আগা
আগিয়েছিলেও,আগা
আগিয়েছিলেন,আগা
আগিয়েছিলেনই,আগা
আগিয়েছিলেনও,আগা
আগিয়েছিস,আগা
আগিয়েছিসই,আগা
আগিয়েছিসও,আগা
আগিয়েছে,আগা
আগিয়েছেই,আগা
আগিয়েছেও,আগা
আগিয়েছেন,আগা
আগিয়েছেনই,আগা
আগিয়েছেনও,আগা
আছ,আছ
আছই,আছ
আছও,আছ
আছি,আছ
আছিই,আছ
আছিও,আছ
আছিস,আছ
আছিসই,আছ
আছিসও,আছ
আছে,আছ
আছেই,আছ
আছেও,আছ
আছেন,আছ
আছেনই,আছ
আছেনও,আছ
আন,আন
আনই,আন
আনও,আন
আনছ,আন
আনছই,আন
আনছও,আন
আনছি,আন
আনছিই,আন
আনছিও,আন
আনছিল,আন
আনছিলই,আন
আনছিলও,আন
আনছিলাম,আন
আনছিলামই,আন
আনছিলামও,আন
আনছিলি,আন
আনছিলিই,আন
আনছিলিও,আন
আনছিলে,আন
আনছিলেই,আন
আনছিলেও,আন
আনছিলেন,আন
আনছিলেনই,আন
আনছিলেনও,আন
আনছিস,আন
আনছিসই,আন
আনছিসও,আন
আনছে,আন
আনছেই,আন
আনছেও,আন
আনছেন,আন
আনছেনই,আন
আনছেনও,আন
আনত,আন
আনতই,আন
আনতও,আন
আনতাম,আন
আনতামই,আন
আনতামও,আন
আনতি,আন
আনতিই,আন
আনতিও,আন
আনতে,আন
আনতে থাকব,আন
আনতে থাকবই,আন
আনতে থাকবও,আন
আনতে থাকবি,আন
আনতে থাকবিই,আন
আনতে থাকবিও,আন
আনতে থাকবে,আন
আনতে থাকবেই,আন
আনতে থাকবেও,আন
আনতে থাকবেন,আন
আনতে থাকবেনই,আন
আনতে থাকবেনও,আন
আনতেই,আন
আনতেও,আন
আনতেন,আন
আনতেনই,আন
আনতেনও,আন
আনব,আন
আনবই,আন
আনবও,আন
আনবি,আন
আনবিই,আন
আনবিও,আন
আনবে,আন
আনবেই,আন
আনবেও,আন
আনবেন,আন
আনবেনই,আন
আনবেনও,আন
আনল,আন
আনলই,আন
আনলও,আন
আনলাম,আন
আনলামই,আন
আনলামও,আন
আনলি,আন
আনলিই,আন
আনলিও,আন
আনলে,আন
আনলেই,আন
আনলেও,আন
আনলেন,আন
আনলেনই,আন
আনলেনও,আন
আনা,আনা
আনাই,আনা
আনাইই,আনা
আনাইও,আনা
আনাও,আনা
আনাওই,আনা
আনাওও,আনা
আনাক,আনা
আনাকই,আনা
আনাকও,আনা
আনাচ্ছ,আনা
আনাচ্ছই,আনা
আনাচ্ছও,আনা
আনাচ্ছি,আনা
আনাচ্ছিই,আনা
আনাচ্ছিও,আনা
আনাচ্ছিল,আনা
আনাচ্ছিলই,আনা
আনাচ্ছিলও,আনা
আনাচ্ছিলাম,আনা
আনাচ্ছিলামই,আনা
আনাচ্ছিলামও,আনা
আনাচ্ছিলি,আনা
আনাচ্ছিলিই,আনা
আনাচ্ছিলিও,আনা
আনাচ্ছিলে,আনা
আনাচ্ছিলেই,আনা
আনাচ্ছিলেও,আনা
আনাচ্ছিলেন,আনা
আনাচ্ছিলেনই,আনা
আনাচ্ছিলেনও,আনা
আনাচ্ছিস,আনা
আনাচ্ছিসই,আনা
আনাচ্ছিসও,আনা
আনাচ্ছে,আনা
আনাচ্ছেই,আনা
আনাচ্ছেও,আনা
আনাচ্ছেন,আনা
আনাচ্ছেনই,আনা
আনাচ্ছেনও,আনা
আনাত,আনা
আনাতই,আনা
আনাতও,আনা
আনাতাম,আনা
আনাতামই,আনা
আনাতামও,আনা
আনাতি,আনা
আনাতিই,আনা
আনাতিও,আনা
আনাতে,আনা
আনাতে থাকব,আনা
আনাতে থাকবই,আনা
আনাতে থাকবও,আনা
আনাতে থাকবি,আনা
আনাতে থাকবিই,আনা
আনাতে থাকবিও,আনা
আনাতে থাকবে,আনা
আনাতে থাকবেই,আনা
আনাতে থাকবেও,আনা
আনাতে থাকবেন,আনা
আনাতে থাকবেনই,আনা
আনাতে থাকবেনও,আনা
আনাতেই,আনা
আনাতেও,আনা
আনাতেন,আনা
আনাতেনই,আনা
আনাতেনও,আনা
আনান,আনা
আনানই,আনা
আনানও,আনা
আনানো,আনা
আনানোই,আনা
আনানোও,আনা
আনানোর,আনা
আনানোরই,আনা
আনানোরও,আনা
আনাব,আনা
আনাবই,আনা
আনাবও,আনা
আনাবি,আনা
আনাবিই,আনা
আনাবিও,আনা
আনাবে,আনা
আনাবেই,আনা
আনাবেও,আনা
আনাবেন,আনা
আনাবেনই,আনা
আনাবেনও,আনা
আনার,আনা
আনারই,আনা
আনারও,আনা
আনাল,আনা
আনালই,আনা
আনালও,আনা
আনালাম,আনা
আনালামই,আনা
আনালামও,আনা
আনালি,আনা
আনালিই,আনা
আনালিও,আনা
আনালে,আনা
আনালেই,আনা
আনালেও,আনা
আনালেন,আনা
আনালেনই,আনা
আনালেনও,আনা
আনাস,আনা
আনাসই,আনা
আনাসও,আনা
আনায়,আনা
আনায়ই,আনা
আনায়ও,আনা
আনি,আনা
আনিই,আনা
আনিও,আনা
আনিস,আনা
আনিসই,আনা
আনিসও,আনা
আনিয়ে,আনা
আনিয়েই,আনা
আনিয়েও,আনা
আনিয়েছ,আনা
আনিয়েছই,আনা
আনিয়েছও,আনা
আনিয়েছি,আনা
আনিয়েছিই,আনা
আনিয়েছিও,আনা
আনিয়েছিল,আনা
আনিয়েছিলই,আনা
আনিয়েছিলও,আনা
আনিয়েছিলাম,আনা
আনিয়েছিলামই,আনা
আনিয়েছিলামও,আনা
আনিয়েছিলি,আনা
আনিয়েছিলিই,আনা
আনিয়েছিলিও,আনা
আনিয়েছিলে,আনা
আনিয়েছিলেই,আনা
আনিয়েছিলেও,আনা
আনিয়েছিলেন,আনা
আনিয়েছিলেনই,আনা
আনিয়েছিলেনও,আনা
আনিয়েছিস,আনা
আনিয়েছিসই,আনা
আনিয়েছিসও,আনা
আনিয়েছে,আনা
আনিয়েছেই,আনা
আনিয়েছেও,আনা
আনিয়েছেন,আনা
আনিয়েছেনই,আনা
আনিয়েছেনও,আনা
আনুক,আনা
আনুকই,আনা
আনুকও,আনা
আনুন,আনা
আনুনই,আনা
আনুনও,আনা
আনে,আনা
আনেই,আনা
আনেও,আনা
আনেন,আনা
আনেনই,আনা
আনেনও,আনা
আস,আস
আসই,আস
আসও,আস
আসছ,আস
আসছই,আস
আসছও,আস
আসছি,আস
আসছিই,আস
আসছিও,আস
আসছিল,আস
আসছিলই,আস
আসছিলও,আস
আসছিলাম,আস
